"party","frame_main","n","prop"
"Democratic","economy",6,0.222222222222222
"Democratic","governance",11,0.407407407407407
"Democratic","security",8,0.296296296296296
"Democratic","welfare",2,0.0740740740740741
"Democratic-Republican","governance",7,0.777777777777778
"Democratic-Republican","security",2,0.222222222222222
"Nonpartisan","governance",2,0.5
"Nonpartisan","security",2,0.5
"Republican","economy",6,0.25
"Republican","governance",12,0.5
"Republican","security",6,0.25
"Whig","governance",1,0.5
"Whig","security",1,0.5
