"Topic_1","Topic_2","Topic_3","Topic_4","Topic_5","Topic_6","Topic_7","Topic_8","Topic_9","Topic_10"
"can","upon","states","government","government","world","states","government","congress","people"
"law","government","may","states","united","must","government","federal","year","can"
"government","year","united","united","states","war","people","congress","new","america"
"great","congress","public","upon","year","peace","congress","year","federal","new"
"upon","made","government","mexico","congress","us","united","can","program","must"
"must","country","congress","congress","american","nations","constitution","must","programs","us"
"men","last","great","may","may","free","upon","national","administration","now"
"public","public","made","public","upon","can","may","war","also","american"
"work","states","can","war","now","people","can","program","energy","years"
"one","people","country","country","department","great","shall","economic","economic","americans"
